sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,P40R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P40P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX40,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P41R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P41P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX41,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,MP01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX45,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX46,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX07,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX17,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,CH01,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB21,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB22,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,VB20,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,V20R,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,V20P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PW26,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P26P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P26R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX03,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,CH02,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,DA02,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,MP20,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,M20R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,M20P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,MP15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,DA15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX35,LNP,MNP_Portout
dbx:CerillionBahamasOracle,23,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,24,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,25,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,26,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,27,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,28,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,29,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,30,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,31,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,34,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,40,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX71,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F71R,Change,WorkOrder_Flow
